Umur,Jumlah Masukan,Bahan Makanan,Vit. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
13,3,"39, 4, 60",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
32,8,"19, 21, 52, 15, 32, 27, 11, 13",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,o
14,10,"58, 50, 5, 47, 53, 56, 1, 29, 29, 14",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,x,o
27,2,"8, 56",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
8,5,"6, 62, 43, 32, 53",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,o,x,o
28,7,"53, 28, 25, 16, 8, 19, 37",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
0,3,"4, 13, 7",x,o,x,x,x,x,x,o,x,x,x,o,o,x,o,o,o,x
33,5,"43, 45, 17, 20, 49",o,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,o,x
26,2,"48, 59",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
1,4,"30, 16, 7, 14",x,o,o,x,x,x,o,o,o,x,x,o,o,x,o,o,o,o
19,5,"44, 38, 22, 2, 32",x,o,o,x,x,x,x,o,x,x,o,o,x,x,o,x,x,x
28,2,"1, 2",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
8,7,"60, 60, 10, 54, 36, 14, 1",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
13,5,"56, 11, 41, 60, 51",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
1,7,"43, 47, 12, 6, 31, 4, 59",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
36,4,"56, 29, 28, 61",o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
18,10,"39, 18, 28, 40, 53, 8, 30, 58, 44, 52",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
28,10,"10, 9, 25, 11, 53, 33, 46, 42, 17, 51",x,o,o,x,x,x,o,o,o,o,x,o,o,x,o,x,o,x
30,9,"47, 16, 45, 56, 25, 41, 15, 37, 32",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
11,5,"44, 53, 58, 55, 62",o,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,x,o
33,2,"56, 47",x,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
7,4,"28, 19, 48, 2",x,o,x,x,o,x,o,o,o,o,o,x,o,x,o,o,x,o
13,5,"57, 34, 11, 2, 53",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
29,2,"2, 10",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
0,5,"56, 23, 12, 27, 37",x,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,x,o
19,8,"9, 17, 53, 52, 25, 22, 61, 7",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,o,o
20,5,"32, 1, 17, 28, 48",x,o,o,x,o,x,o,o,o,o,x,o,x,x,o,x,x,x
23,3,"42, 3, 5",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
4,10,"31, 39, 29, 18, 42, 24, 2, 49, 31, 52",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
35,8,"35, 36, 36, 25, 30, 62, 10, 22",x,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
34,3,"46, 33, 35",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,1,46,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,5,"12, 21, 47, 59, 32",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
28,8,"55, 18, 25, 26, 20, 18, 7, 37",o,o,o,o,x,x,o,o,x,x,x,o,x,x,o,x,o,x
14,10,"10, 54, 22, 35, 24, 14, 17, 37, 29, 29",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
34,8,"42, 48, 34, 62, 48, 29, 36, 15",x,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
29,3,"32, 51, 47",x,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
23,4,"42, 38, 33, 17",x,o,x,x,x,x,o,o,x,o,x,x,x,x,x,x,x,x
14,1,51,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,1,28,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
27,7,"18, 46, 61, 48, 12, 5, 31",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
23,6,"57, 11, 14, 36, 49, 19",o,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,x
26,3,"29, 25, 19",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
17,7,"59, 7, 17, 41, 11, 28, 47",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
31,7,"3, 13, 12, 18, 9, 6, 6",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,o,x
30,7,"9, 29, 59, 19, 59, 53, 62",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
17,1,39,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,5,"38, 39, 3, 48, 18",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
31,9,"42, 42, 7, 41, 31, 16, 3, 17, 9",x,o,o,x,x,x,o,o,o,o,x,o,o,x,o,x,o,x
31,7,"29, 18, 41, 5, 57, 16, 28",x,o,o,o,x,x,o,o,x,x,x,o,x,x,o,x,x,x
4,6,"10, 8, 48, 28, 36, 38",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
23,8,"54, 20, 41, 14, 61, 7, 20, 13",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
18,1,30,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
36,3,"61, 20, 2",o,o,o,x,o,x,o,o,x,x,x,o,x,x,x,x,o,x
20,2,"13, 43",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,5,"55, 50, 26, 13, 9",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
14,4,"28, 13, 34, 57",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
5,9,"52, 62, 22, 6, 58, 51, 46, 40, 34",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
11,6,"47, 38, 45, 22, 34, 30",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
15,5,"56, 16, 14, 39, 25",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
5,6,"44, 28, 7, 47, 21, 47",o,o,o,o,o,x,o,o,o,x,o,o,o,x,o,o,x,o
32,1,39,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
5,4,"37, 25, 23, 18",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,o,o,o
0,8,"37, 15, 59, 42, 42, 27, 7, 7",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
6,8,"58, 51, 43, 30, 63, 1, 1, 4",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,x,o
31,3,"6, 2, 34",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,1,17,x,o,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x
16,8,"48, 19, 35, 61, 60, 45, 50, 62",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
23,8,"36, 13, 2, 50, 1, 58, 52, 54",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
8,6,"57, 31, 52, 49, 42, 4",x,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,x,o
16,7,"33, 24, 12, 19, 58, 47, 54",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
22,8,"7, 40, 25, 17, 46, 8, 37, 57",o,o,o,x,x,x,o,o,o,o,x,o,x,x,x,x,x,x
2,4,"17, 43, 45, 25",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
30,8,"7, 25, 60, 37, 45, 62, 6, 36",o,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,o
25,3,"13, 62, 49",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
21,9,"28, 30, 8, 58, 38, 56, 27, 18, 17",o,o,o,x,x,x,o,o,o,o,x,o,o,x,o,x,x,o
28,1,9,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
27,4,"60, 46, 1, 16",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
11,5,"14, 15, 37, 41, 5",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,o,x,o
6,3,"39, 12, 59",x,o,x,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
3,4,"45, 56, 56, 21",o,o,o,o,o,x,o,o,x,x,o,o,o,x,o,o,x,o
36,10,"11, 28, 5, 18, 62, 20, 15, 44, 16, 5",o,o,o,o,x,x,o,o,x,x,o,o,x,x,o,x,o,o
15,4,"9, 31, 8, 19",x,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
3,1,62,x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
2,7,"62, 41, 7, 12, 62, 42, 11",x,o,x,x,x,x,o,o,o,x,o,o,o,x,o,o,x,o
8,3,"56, 12, 11",x,o,x,x,x,x,o,o,x,x,o,x,o,x,o,o,x,o
29,1,50,o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,1,58,o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,5,"27, 43, 56, 6, 22",x,o,o,x,x,x,o,o,x,x,o,x,o,x,o,x,x,x
24,10,"17, 50, 57, 54, 14, 26, 45, 35, 23, 53",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
8,2,"12, 21",o,o,x,o,o,x,o,o,x,x,o,x,o,x,o,x,x,x
20,8,"9, 11, 1, 3, 20, 48, 14, 17",o,o,x,x,o,x,o,o,o,o,o,o,o,x,o,x,o,o
5,5,"60, 2, 33, 28, 35",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
28,6,"35, 36, 58, 54, 26, 32",o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
24,4,"42, 36, 5, 22",x,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
0,3,"25, 22, 42",x,o,x,x,x,x,x,o,x,x,o,o,o,x,o,o,o,x
24,7,"34, 16, 43, 33, 5, 48, 5",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
36,1,20,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,o,x
0,6,"49, 32, 30, 38, 61, 38",o,o,o,x,o,x,x,o,x,x,o,o,o,x,o,o,x,o
25,9,"54, 23, 63, 34, 30, 11, 18, 10, 33",x,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,o
21,10,"35, 15, 21, 53, 13, 44, 17, 58, 23, 45",o,o,o,o,o,x,o,o,o,o,o,o,x,x,o,x,o,o
6,6,"18, 51, 62, 22, 60, 42",x,o,x,o,o,x,o,o,x,x,o,o,o,x,o,o,o,o
15,3,"58, 28, 15",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
32,8,"20, 34, 16, 40, 23, 15, 44, 58",o,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,o,x
35,9,"28, 31, 20, 1, 42, 7, 54, 9, 4",o,o,o,x,x,x,o,o,o,x,x,o,o,x,o,x,o,x
2,4,"45, 56, 61, 27",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
12,5,"31, 52, 2, 13, 26",x,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
19,3,"14, 4, 5",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
0,1,26,x,x,x,x,x,x,x,x,x,x,x,o,o,x,x,x,x,x
2,5,"42, 35, 49, 63, 10",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,o,x,o
27,6,"13, 34, 28, 2, 38, 56",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
0,9,"50, 19, 47, 41, 50, 40, 49, 24, 37",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
36,2,"13, 47",x,o,x,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
28,6,"24, 37, 26, 14, 26, 8",o,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
0,6,"41, 26, 33, 28, 42, 8",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,o,x,x
6,8,"49, 39, 53, 22, 24, 41, 35, 39",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
0,2,"32, 44",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
14,4,"6, 28, 50, 18",o,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
33,10,"57, 54, 14, 60, 56, 49, 48, 19, 20, 45",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,o,o
13,5,"10, 14, 37, 17, 36",x,o,o,x,x,x,o,o,o,o,x,x,x,x,x,x,x,x
21,2,"1, 8",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
25,1,51,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
3,10,"62, 32, 11, 28, 54, 31, 40, 56, 2, 13",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
19,7,"18, 7, 55, 51, 46, 61, 60",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
6,10,"16, 41, 5, 53, 32, 27, 34, 5, 45, 44",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
33,7,"60, 27, 30, 7, 12, 48, 3",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
18,1,12,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,7,"1, 36, 25, 55, 9, 52, 48",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,x
9,2,"29, 60",x,o,x,x,o,x,o,o,x,x,x,x,o,x,o,o,x,o
21,9,"8, 57, 26, 36, 28, 58, 18, 51, 53",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
21,5,"36, 44, 62, 62, 52",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
20,10,"13, 47, 51, 31, 17, 3, 45, 43, 19, 10",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
22,3,"39, 19, 1",x,o,x,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
2,6,"32, 34, 54, 54, 22, 48",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
4,6,"46, 2, 41, 44, 38, 42",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,o,x,o
36,9,"55, 7, 49, 50, 59, 54, 38, 47, 47",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
26,3,"43, 2, 12",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
29,4,"27, 30, 20, 12",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
8,1,14,x,o,x,x,x,x,o,x,x,x,x,x,o,x,x,x,x,x
8,4,"18, 33, 30, 32",x,o,o,x,x,x,o,o,x,x,x,x,o,x,x,x,x,o
24,4,"7, 5, 23, 31",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
35,6,"5, 13, 56, 1, 48, 41",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
14,1,46,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
28,1,57,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
23,3,"22, 49, 3",x,o,x,x,x,x,o,o,x,x,o,o,x,x,x,x,o,x
33,4,"57, 43, 26, 14",o,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
14,5,"60, 32, 27, 5, 9",x,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,o
35,1,47,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x
30,7,"35, 9, 18, 48, 62, 38, 56",x,o,o,x,o,x,o,o,x,o,x,o,o,x,o,x,x,x
34,8,"25, 17, 34, 56, 48, 3, 5, 61",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,o,o
19,3,"12, 55, 50",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
2,7,"61, 22, 24, 45, 42, 41, 34",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
15,8,"25, 21, 23, 17, 57, 34, 31, 5",o,o,o,o,o,x,o,o,o,o,x,o,x,x,o,x,x,x
0,9,"11, 47, 62, 33, 31, 21, 41, 59, 6",o,o,o,o,o,x,o,o,o,x,o,o,o,x,o,o,o,o
27,8,"10, 13, 12, 3, 22, 62, 15, 62",x,o,x,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
31,7,"49, 23, 60, 18, 37, 55, 23",x,o,o,o,o,x,o,o,x,o,x,o,x,x,o,x,x,o
10,8,"58, 13, 63, 33, 36, 52, 51, 38",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
14,6,"11, 53, 3, 44, 48, 12",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
25,7,"18, 14, 39, 36, 8, 36, 41",x,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
16,5,"10, 60, 23, 56, 23",x,o,o,x,o,x,o,o,o,o,x,o,x,x,o,x,x,x
21,4,"17, 32, 39, 15",x,o,o,x,x,x,o,o,x,o,x,o,x,x,x,x,x,x
11,7,"13, 54, 1, 61, 32, 27, 42",o,o,o,x,o,x,o,o,x,x,o,x,o,x,o,o,x,o
11,6,"2, 33, 7, 7, 47, 53",x,o,x,x,o,x,o,o,o,x,o,x,o,x,o,o,x,o
8,10,"33, 41, 40, 52, 41, 8, 7, 3, 10, 57",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
34,7,"29, 22, 54, 20, 57, 41, 60",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,o,x
25,6,"39, 2, 62, 9, 30, 20",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
30,8,"6, 41, 1, 24, 21, 32, 44, 8",o,o,o,o,o,x,o,o,x,x,x,o,x,x,x,x,x,x
6,9,"53, 54, 16, 5, 16, 63, 5, 53, 5",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
35,5,"8, 39, 47, 30, 25",x,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
13,2,"48, 30",x,o,o,x,o,x,o,o,x,o,x,x,x,x,o,x,x,x
20,5,"45, 20, 37, 42, 20",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
9,5,"52, 30, 35, 20, 56",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
31,2,"36, 49",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
30,9,"9, 7, 10, 40, 13, 2, 14, 38, 37",x,o,o,x,x,x,o,o,o,x,x,o,x,x,x,x,x,x
3,2,"20, 53",o,o,x,x,x,x,o,o,x,x,o,o,o,x,o,x,o,x
2,8,"33, 58, 1, 25, 42, 25, 24, 7",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,x,o
26,3,"57, 11, 42",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
9,1,27,x,o,x,x,x,x,x,x,x,x,x,x,o,x,x,x,x,x
25,7,"50, 61, 60, 30, 29, 57, 8",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
15,4,"26, 57, 29, 36",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
8,7,"17, 39, 13, 47, 8, 35, 21",o,o,o,o,o,x,o,o,o,o,o,x,o,x,o,o,o,o
28,8,"1, 44, 27, 4, 44, 10, 48, 46",o,o,o,x,o,x,o,o,o,o,x,o,o,x,o,x,x,x
14,2,"9, 12",x,o,x,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
20,10,"27, 24, 32, 37, 46, 25, 18, 6, 39, 41",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,o
32,8,"34, 18, 37, 29, 10, 47, 62, 9",x,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,x
1,6,"22, 27, 9, 19, 13, 59",o,o,x,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
12,3,"8, 7, 6",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
19,7,"62, 49, 61, 29, 37, 55, 47",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
15,3,"44, 38, 59",o,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
21,2,"38, 10",x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
4,3,"27, 26, 9",x,o,x,x,x,x,o,o,x,x,x,o,o,x,o,o,o,o
19,8,"59, 14, 18, 6, 26, 15, 5, 40",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,o
25,4,"5, 35, 21, 57",o,o,o,o,x,x,o,o,x,x,x,o,x,x,x,x,x,x
5,4,"51, 50, 6, 59",o,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,o,o
17,5,"24, 22, 46, 8, 56",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
32,9,"33, 55, 40, 52, 22, 15, 20, 31, 35",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,o,x
25,4,"55, 13, 41, 36",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
5,8,"34, 25, 40, 35, 40, 41, 46, 52",x,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,x,o
19,3,"42, 26, 44",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,10,"46, 28, 11, 24, 36, 7, 31, 11, 7, 55",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,x,x,o
20,3,"62, 60, 6",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
34,8,"20, 4, 4, 44, 40, 32, 22, 58",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
29,1,4,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,7,"21, 4, 2, 32, 20, 16, 48",o,o,x,o,o,x,o,o,o,o,o,o,o,o,o,o,o,o
11,8,"31, 37, 45, 45, 10, 45, 4, 25",o,o,o,x,o,x,x,o,o,x,o,o,o,x,o,o,x,o
15,8,"3, 43, 47, 49, 20, 5, 59, 12",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,o,x
21,7,"19, 49, 58, 5, 16, 40, 24",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
32,6,"34, 48, 44, 55, 19, 61",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
31,9,"25, 51, 18, 37, 11, 9, 6, 29, 41",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,o
1,9,"50, 18, 59, 59, 1, 8, 11, 25, 56",o,o,o,x,x,x,o,o,o,x,o,o,o,o,o,o,o,o
0,4,"61, 17, 36, 24",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
2,5,"13, 7, 12, 45, 22",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
16,8,"25, 8, 52, 23, 16, 51, 43, 58",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
22,7,"32, 24, 32, 1, 51, 44, 15",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
30,5,"55, 35, 22, 1, 23",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
10,2,"7, 51",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,o,x,x
20,6,"46, 60, 3, 13, 62, 27",x,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,o
26,3,"6, 17, 49",x,o,o,x,x,x,x,o,x,o,x,x,x,x,x,x,x,x
12,7,"2, 33, 5, 42, 57, 48, 34",o,o,o,x,o,x,o,o,x,o,o,o,o,x,o,x,x,x
25,4,"6, 57, 44, 33",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,5,"33, 42, 36, 7, 2",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,4,"34, 36, 4, 50",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
9,8,"55, 23, 11, 55, 33, 35, 16, 30",x,o,o,x,x,x,o,o,o,o,o,x,o,x,o,o,x,o
19,3,"37, 19, 61",o,o,o,x,o,x,o,o,x,x,x,x,x,x,o,x,x,x
33,3,"53, 54, 51",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
0,6,"15, 29, 29, 51, 42, 32",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
5,10,"52, 2, 7, 14, 62, 37, 3, 12, 55, 11",x,o,o,x,x,x,o,o,o,o,o,o,o,o,o,o,o,o
33,2,"33, 48",x,o,x,x,o,x,o,o,x,o,x,x,x,x,x,x,x,x
32,1,27,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
11,9,"49, 23, 55, 31, 14, 20, 49, 1, 4",o,o,x,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
24,6,"5, 12, 10, 40, 48, 11",x,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,x
13,10,"36, 17, 17, 6, 63, 25, 28, 55, 23, 28",x,o,o,x,x,x,o,o,o,o,x,o,x,x,o,x,o,o
8,6,"9, 22, 8, 18, 37, 38",x,o,o,o,x,x,o,o,x,x,o,o,o,x,o,o,o,x
27,7,"31, 14, 43, 22, 8, 42, 10",x,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
22,1,47,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x
17,10,"41, 17, 44, 23, 5, 28, 56, 2, 60, 23",o,o,o,x,o,x,o,o,o,o,x,o,o,x,o,x,x,o
6,8,"44, 33, 23, 50, 26, 17, 38, 61",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
20,6,"52, 43, 56, 57, 1, 54",o,o,o,x,x,x,o,o,x,x,o,x,x,x,x,x,x,x
3,5,"57, 40, 28, 48, 14",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
24,6,"61, 35, 61, 2, 21, 8",o,o,o,o,o,x,o,o,x,x,o,x,x,x,x,x,x,o
25,10,"3, 7, 33, 50, 57, 59, 4, 11, 11, 43",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
11,4,"41, 60, 62, 17",x,o,x,x,o,x,o,o,o,o,o,x,o,x,o,o,o,o
17,10,"17, 7, 11, 10, 1, 18, 45, 45, 41, 42",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
2,2,"51, 37",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,o,x,x
10,2,"32, 31",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
5,4,"42, 12, 9, 48",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
